Congruent,Incongruent,,Congruent,Incongruent,,,Rounded congruent,Rounded incongruent
12.079,19.278,,14.051125,22.01591667,mean,,12,19
16.791,18.741,,14.3565,21.0175,median,,17,19
9.564,21.214,,12,21,mode,,10,21
8.63,15.687,,15.479,25.471,midrange,,9,16
14.669,22.803,,,,,,15,23
12.238,20.878,,13.698,19.568,range,,12,21
14.692,24.572,,4.3055,5.33475,IQR,,15,25
8.987,17.394,,12.66902907,23.01175704,variance,,9,17
9.401,20.762,,3.559357958,4.797057122,sd,,9,21
14.48,26.282,,,,,,14,26
22.328,24.524,,,,,,22,25
15.298,18.644,,,,,,15,19
15.073,17.51,,,,,,15,18
16.929,20.33,,,,,,17,20
18.2,35.255,,,,,,18,35
12.13,22.158,,,,,,12,22
18.495,25.139,,,,,,18,25
10.639,20.429,,,,,,11,20
11.344,17.425,,,,,,11,17
12.369,34.288,,,,,,12,34
12.944,23.894,,,,,,13,24
14.233,17.96,,,,,,14,18
19.71,22.058,,,,,,20,22
16.004,21.157,,,,,,16,21